호선명,역명,엘리베이터 관리번호,근접 출입구번호,상세위치,시작층(지상/지하),시작층(운행역층),종료층(지상/지하),종료층(운행역층),정원(인원수),정원(중량)(kg),승강기 상태,승강기 일련번호
1호선,두실,3,,"(B1) 1번/3번 출입구 옆
(B2) 구서역 방향 승강장 6-2 출입문 앞",지하,2,지하,1,13,1000,운행,8079-723
1호선,두실,4,,"(B1) 2번/4번 출입구 옆
(B2) 남산역 방향 승강장 7-1 출입문 앞",지하,2,지하,1,13,1000,운행,8079-724
1호선,구서,1,3번,"(1F) 3번 출입구 옆
(2F)북쪽 대합실 계단 옆, 3번 출입구 방향
(3F)장전역 방향 승강장 1-1 출입문 앞",지상,1,지상,3,13,1000,운행,8000-028
1호선,구서,2,4번,"(1F) 4번 출입구 옆
(2F)북쪽 대합실 계단 옆, 4번 출입구 방향
(3F)두실역 방향 승강장 1-1 출입문 앞",지상,1,지상,3,13,1000,운행,8000-029
1호선,장전,1,,"(1F) 3번 출입구 근처 부산대역 방향 표내는 곳 안 
(2F) 부산대역 방향 승강장 3-2 출입문 앞",지상,1,지상,2,13,1000,운행,8018-853
1호선,장전,2,,"(1F) 4번 출입구 옆 구서역 방향 표내는 곳 안
 (2F) 구서역 방향 승강장 1-2 출입문 앞",지상,1,지상,2,13,1000,운행,8018-854
1호선,부산대,1,1번,(2F) 온천장역 방향 승강장 6-3 출입문 앞 (1F) 1번 출입구 근처 표 내는 곳 안,지상,1,지상,2,13,1000,운행,8007-445
1호선,부산대,2,2번,(2F) 장전역 방향 승강장 7-2 출입문 앞 (1F) 2번 출입구 옆 표 내는 곳 안,지상,1,지상,2,13,1000,운행,8007-446
1호선,온천장,1,2번,(1F) 2번 출입구 근처,지상,1,지상,2,13,1000,운행,8018-804
1호선,명륜,1,2번,"(2F) 온천장역 방향 승강장 8-1 출입문 앞
(1F) 2번 출입구앞",지상,1,지상,2,13,1000,운행,8048-385
1호선,동래,1,3번,1. (2F) 교대역 방향 승강장 2-3 출입문 앞 2. (1F) 3번 출입구 옆,지상,1F,지상,2F,13,1000,운행,8001-490
1호선,동래,2,4번,1. (2F) 명륜역 방향 승강장 2-3 출입문 앞 2. (1F) 4번 출입구 옆,지상,1F,지상,2F,13,1000,운행,8001-491
1호선,교대,1,5번,"(1F)5번 출입구 옆
(B1) 5번 출입구 옆",지하,1,지상,1,13,1000,운행,8007-768
1호선,교대,2,8번,"(1F)8번 출입구 옆
(B1) 8번 출입구 옆",지하,1,지상,1,13,1000,운행,8007-769
1호선,교대,3,,"(B1) 동래역 방향 승강장 3-1 출입문 앞
(B2) 지하연결통로",지하,2,지하,1,8,630,운행,8007-770
1호선,교대,4,,"(B1) 연산역 방향 승강장 3-1 출입문 앞
(B2) 지하연결통로",지하,2,지하,1,8,630,운행,8007-771
1호선,교대,5,2번,"(1F)2번 출입구 옆
(B1) 2번 출입구 옆",지하,1,지상,1,13,1000,운행,8092-251
1호선,1연산,1,3번,"(1F) 3번 출입구 앞
(B1) 1,3번 출구 사이",지하,1,지상,1,13,1000,운행,8019-403
1호선,1연산,2,5번,"(1F) 5번 출입구 옆
(B1)고객센터, 5번출구 사이",지하,1,지상,1,13,1000,운행,8019-404
1호선,1연산,3,14번,"(1F) 14번 출입구 앞
(B1)14번, 16번 출구쪽 가는 방향 통로 이용",지하,1,지상,1,13,1000,운행,8019-405
1호선,시청,1,3번,"(1F) 3번/5번 출입구 사이, 
(B1)  발매기 옆",지하,1,지상,1,13,1000,운행,8019-940
1호선,시청,2,4번,"(1F) 4번 출입구 앞, 
(B1)  화장실 맞은편, 표내는 곳 옆",지하,1,지상,1,13,1000,운행,8052-666
1호선,시청,3,,"(B1) 표내는 곳 옆, 1번 출입구 방향
(B2)  양정역 방향 승강장 7-3 출입문 앞",지하,2,지하,1,13,1000,운행,8019-401
1호선,시청,4,,"(B1) 표내는 곳 옆, 2번 출입구 방향
(B2)  연산역 방향 승강장 출입문 8-1 앞",지하,2,지하,1,13,1000,운행,8019-402
1호선,양정,1,1번,"(1F) 1번 출입구 옆
(B1) 1번 엘리베이터 통로 안",지하,1,지상,1,13,1000,운행,8054-727
1호선,양정,2,2번,"(1F) 2번 출입구 옆
(B1) 2번 엘리베이터 통로 안",지하,1,지상,1,13,1000,운행,8036-150
1호선,양정,3,7번,"(1F) 9번 출입구 뒤
(B1) 대합실 쌈지공원 옆",지하,1,지상,1,15,1150,운행,8019-380
1호선,양정,4,6번,"(1F) 8번 출입구 뒤
(B1) 6번 엘리베이터 통로 안",지하,1,지상,1,13,1000,운행,8003-010
1호선,양정,5,,"(B1) 20번대 표내는 곳 내 계단 앞
(B2) 부전역 방향 승강장 7-1 출입문 앞",지하,2,지하,1,13,1000,운행,8018-846
1호선,양정,6,,"(B1) 30번대 표내는 곳 내 계단 앞
(B2) 시청역 방향 승강장 7-1 출입문 앞",지하,2,지하,1,13,1000,운행,8018-847
1호선,부전,1,1번,"(1F) 1번 출입구 뒤
(B1) 1번 출입구 옆",지하,1,지상,1,13,1000,운행,8007-683
1호선,부전,2,6번,"(1F) 6번 출입구 옆
(B1) 양정역 방향 표내는곳(G-30) 옆",지하,1,지상,1,13,1000,운행,8007-684
1호선,부전,3,,"(B1) 서면역 방향 표내는곳(G-1) 내 계단 앞
(B2) 서면역 방향 승강장 3-1 출입문 앞",지하,2,지하,1,13,1000,운행,8000-051
1호선,부전,4,,"(B1) 양정역 방향 표내는곳(G-20) 내 계단 앞
(B2) 양정역 방향 승강장 6-3 출입문 앞",지하,2,지하,1,13,1000,운행,8000-050
1호선,1서면,1,13번,(B1) 역무실 후문 앞 / (1F) 13번 출구 옆,지하,1,지상,-,13,1000,운행,8019-963
1호선,1서면,2,12번,(B1) 12번 출구 계단 맞은편 / (1F) 12번 출구 옆,지하,1,지상,-,10,750,운행,8019-964
1호선,1서면,3,,(B1) 41번 게이트 내 / (B2) 1호선 상선 승강장,지하,2,지하,1,13,1000,운행,8019-454
1호선,1서면,4,,(B1) 45번 게이트 내 / (B2) 1호선 하선 승강장,지하,2,지하,1,13,1000,운행,8019-455
1호선,범내골,1,1번,"(1F) 1번 출입구 근처, (B1) 1번 출입구 근처",지하,1,지상,1,13,1000,운행,8007685
1호선,범내골,2,4번,"(1F) 4번 출입구 근처, (B1) 4번 출입구 근처",지하,1,지상,1,13,1000,운행,8007686
1호선,범내골,3,7번,"(1F) 5번/7번 출입구 사이 엘리베이터, (B1) 7번 출입구 옆",지하,1,지상,1,13,1000,운행,8007687
1호선,범내골,4,6번,"(1F) 6번/8번 출입구 사이 엘리베이터, (B1) 6번 출입구 옆",지하,1,지상,1,13,1000,운행,8007688
1호선,범내골,5,,"(B1) 표내는곳 내 계단 옆, 1번/2번 출입구 방향, (B2) 노포행 방향 승강장 8-3 출입문 근처 ",지하,2,지하,1,13,1000,운행,8019486
1호선,범내골,6,,"(B1) 대합실 만남의광장 화장실 근처, (B2) 다대포해수욕장행 방향 승강장 3-3 출입문 앞 ",지하,2,지하,1,13,1000,운행,8057291
1호선,범일,1,7번,"(1F) 7번 출입구 옆
(B1) 상가통로 방향",지하,B1,지상,1,13,1000,운행,8056149
1호선,범일,2,6번,"(1F) 6번 출입구 옆
(B1) 화장실 방향",지하,B1,지상,1,13,1000,운행,8007766
1호선,범일,3,,"(B1) 10번대 표 내는 곳 방향
(B2) 좌천 방향 승강장 7-1 출입문 앞",지하,B2,지하,B1,13,1000,운행,8000110
1호선,범일,4,,"(B1) 30번대 표 내는 곳 방향
(B2) 범내골 방향 승강장 2-2 출입문 앞",지하,B2,지하,B1,13,1000,운행,8000109
1호선,좌천,1,3번,"(1F) 3번 출입구 옆 엘리베이터
(B1) 화장실 옆 1번/3번 출입구 방향",지하,B1,지상,1F,13,1000,운행,8037792
1호선,좌천,2,2번/4번," (1F) 2번/4번 출입구 사이 엘리베이터, 1번 출입구 옆
 (B1) 2번/4번 출입구 계단 옆",지하,B1,지상,1F,13,1000,운행,8037793
1호선,좌천,3,1번/3번,"(B1) 표내는곳 내 계단 옆, 1번/3번 출입구방향
(B2) 부산진역 방향 승강장 7-1 출입문 앞",지하,B2,지하,B1,13,1000,운행,8006072
1호선,좌천,4,2번/4번,"(B1) 표내는곳 내 계단 옆, 2번/4번 출입구방향
(B2) 범일역 방향 승강장 7-1출입문 앞",지하,B2,지하,B1,13,1000,운행,8006073
1호선,부산진,1,5번,"(1F)  5번 출입구 옆
(B1) 5번출구쪽 표내는곳 옆 통로 방향",지하,1,지상,1,13,1000,운행,8050607
1호선,부산진,2,6번,"(1F) 6번 출입구 옆
(B1) 궤도분소 앞",지하,1,지상,1,13,1000,운행,8050463
1호선,부산진,3,,"(B1) 5번출구쪽 표내는곳 뒤쪽
 (B2) 초량역 방향 승강장 1-3 출입문 앞",지하,2,지하,1,13,1000,운행,8004716
1호선,부산진,4,,"(B1) 5번출구쪽 표내는곳 뒤쪽
 (B2) 좌천역 방향 승강장 1-3 출입문 앞",지하,2,지하,1,13,1000,운행,8004717
1호선,초량,1,"6,8번",(1F) 8번 출구 전방 30m지점,지하,B1,지상,1F,13,1000,운행,8037631
